id,nombres,apellidos,correo,dni,telefono,departamento,categoria,especialidad,rol_principal,roles_secundarios,fecha_ingreso,activo
1,Juan Carlos,Quispe Huamán,jc.quispe@unsaac.edu.pe,12345678,984123456,Ingeniería Informática,Principal,Desarrollo de Software,DOCENTE,VERIFICADOR,2020-03-15,SI
2,María Elena,Flores Salas,me.flores@unsaac.edu.pe,23456789,984123457,Ingeniería Informática,Asociado,Base de Datos,DOCENTE,,2019-05-20,SI
3,Carlos Augusto,Mamani Puma,ca.mamani@unsaac.edu.pe,34567890,984123458,Ingeniería Civil,Principal,Estructuras,DOCENTE,VERIFICADOR,2018-07-10,SI
4,Ana Lucía,Quispe Ccahuana,al.quispe@unsaac.edu.pe,45678901,984123459,Administración,Asociado,Finanzas,ADMINISTRADOR,,2023-01-15,SI
5,Luis Alberto,Chávez Rojas,la.chavez@unsaac.edu.pe,56789012,984123460,Ingeniería Eléctrica,Principal,Redes Eléctricas,DOCENTE,,2020-06-22,SI
6,Rosa María,Valdivia Soto,rm.valdivia@unsaac.edu.pe,67890123,984123461,Medicina,Asociado,Medicina Interna,DOCENTE,VERIFICADOR,2019-08-30,SI
7,Pedro Pablo,Huamán Ccama,pp.huaman@unsaac.edu.pe,78901234,984123462,Ingeniería Mecánica,Principal,Térmica,DOCENTE,,2021-02-14,SI
8,Luisa Fernanda,Mendoza Quispe,lf.mendoza@unsaac.edu.pe,89012345,984123463,Enfermería,Asociado,Enfermería Quirúrgica,DOCENTE,,2022-04-05,SI
9,Roberto Carlos,Flores Salas,rc.flores@unsaac.edu.pe,90123456,984123464,Derecho,Principal,Derecho Penal,DOCENTE,VERIFICADOR,2017-11-18,SI
10,Carmen Rosa,Quispe Huaraya,cr.quispe@unsaac.edu.pe,12345670,984123465,Educación,Asociado,Educación Primaria,DOCENTE,,2020-09-10,SI
11,José Luis,Chávez Mamani,jl.chavez@unsaac.edu.pe,23456701,984123466,Ingeniería Ambiental,Principal,Gestión Ambiental,DOCENTE,,2019-03-25,SI
12,María del Pilar,Rodríguez Vargas,mp.rodriguez@unsaac.edu.pe,34567012,984123467,Psicología,Asociado,Psicología Clínica,DOCENTE,VERIFICADOR,2021-07-15,SI
13,Julio César,Quispe Ccanto,jc.quispe2@unsaac.edu.pe,45670123,984123468,Ingeniería Química,Principal,Procesos Químicos,DOCENTE,,2018-10-30,SI
14,Silvia Patricia,Huamán Rojas,sp.huaman@unsaac.edu.pe,56701234,984123469,Contabilidad,Asociado,Auditoría,DOCENTE,,2022-01-20,SI
15,Miguel Ángel,Flores Mamani,ma.flores@unsaac.edu.pe,67012345,984123470,Arquitectura,Principal,Diseño Arquitectónico,DOCENTE,VERIFICADOR,2019-06-12,SI
16,Elena Sofía,Quispe Huillca,es.quispe@unsaac.edu.pe,70123456,984123471,Medicina Veterinaria,Asociado,Medicina Veterinaria,DOCENTE,,2020-11-05,SI
17,Ricardo Antonio,Mamani Chávez,ra.mamani@unsaac.edu.pe,12345671,984123472,Ingeniería de Minas,Principal,Explotación Minera,DOCENTE,,2018-04-18,SI
18,Ana Cecilia,Flores Salas,ac.flores@unsaac.edu.pe,23456712,984123473,Enfermería,Asociado,Enfermería Pediátrica,DOCENTE,VERIFICADOR,2021-03-22,SI
19,Roberto Carlos,Quispe Huamán,rc.quispe2@unsaac.edu.pe,34567123,984123474,Ingeniería Civil,Principal,Hidráulica,DOCENTE,,2019-09-15,SI
20,María Isabel,Chávez Ccama,mi.chavez@unsaac.edu.pe,45671234,984123475,Administración,Asociado,Marketing,DOCENTE,,2022-05-10,SI
21,Carlos Alberto,Flores Mamani,ca.flores@unsaac.edu.pe,56712345,984123476,Ingeniería Informática,Principal,Inteligencia Artificial,DOCENTE,VERIFICADOR,2018-12-03,SI
22,Patricia Elizabeth,Quispe Rojas,pe.quispe@unsaac.edu.pe,67123456,984123477,Medicina,Asociado,Cardiología,DOCENTE,,2021-08-20,SI
23,Juan Pablo,Huamán Salas,jp.huaman@unsaac.edu.pe,71234560,984123478,Ingeniería Mecánica,Principal,Mecánica de Fluidos,DOCENTE,,2019-11-25,SI
